Date,Open,High,Low,Close,Volume
03-01-2023,89.585,91.05,88.52,89.12,28131224
04-01-2023,90.35,90.65,87.271,88.08,34854776
05-01-2023,87.47,87.57,85.9,86.2,27194375
06-01-2023,86.79,87.69,84.86,87.34,41381495
09-01-2023,88.36,90.05,87.86,88.02,29003901
10-01-2023,85.98,88.67,85.83,88.42,30467755
11-01-2023,89.18,91.6,89.01,91.52,26861969
12-01-2023,91.48,91.87,89.75,91.13,30258135
13-01-2023,90.85,92.19,90.1299,92.12,26329212
17-01-2023,92.06,92.25,90.05,91.29,32602423
18-01-2023,92.14,92.7999,90.64,91.12,29116691
19-01-2023,90.72,93.605,90.63,93.05,37000395
20-01-2023,95.1,98.3,95.02,98.02,63191078
23-01-2023,97.95,100.04,97.5,99.79,40005055
24-01-2023,98.1,99.61,97.2,97.7,33078512
25-01-2023,95.57,96.162,93.76,95.22,42329952
26-01-2023,96.5,97.57,95.38,97.52,30113974
27-01-2023,97.31,100.32,97.31,99.37,33879753
30-01-2023,97.48,98.29,96.395,96.94,27226198
31-01-2023,96.87,98.88,96.82,98.84,29870669
01-02-2023,98.71,101.19,97.58,100.43,35531104
02-02-2023,105.8,107.85,105.61,107.74,69883762
03-02-2023,102.93,107.81,102.58,104.78,65309261
06-02-2023,102.4,104.36,101.88,102.9,31999562
07-02-2023,103.22,108.18,103.12,107.64,49010230
08-02-2023,102.05,103.14,98.035,99.37,94743515
09-02-2023,100,100.03,93.63,95.01,119455020
10-02-2023,95.45,96.75,94.25,94.57,54980696
13-02-2023,94.74,95.2,93.84,94.61,50076120
14-02-2023,94.43,94.845,92.26,94.68,54726120
15-02-2023,94.49,97.12,94.15,96.94,50298481
16-02-2023,95.37,97.68,94.74,95.51,42462618
17-02-2023,94.85,95.5599,93.21,94.35,34284118
21-02-2023,93,93.1,91.72,91.79,33629256
22-02-2023,91.7,92.11,90.61,91.65,30884017
23-02-2023,91.92,91.94,89.76,90.89,41206380
24-02-2023,89.44,89.89,88.575,89.13,36585093
27-02-2023,89.87,90.16,89.335,89.87,27502302
28-02-2023,89.33,91.23,89.32,90.06,30142039
01-03-2023,89.98,91.03,89.67,90.36,31111225
02-03-2023,89.66,92.275,89.59,92,32226229
03-03-2023,92.48,93.73,92.45,93.65,35160105
06-03-2023,94.015,95.97,94,95.13,32639313
07-03-2023,94.98,95.67,93.53,93.86,27835476
08-03-2023,94.12,95.955,94,94.25,34103265
09-03-2023,94.05,95.53,91.9,92.32,28813532
10-03-2023,92.17,92.79,90.395,90.63,35941046
13-03-2023,90.09,92.57,89.42,91.11,37335573
14-03-2023,92.56,94.36,92.44,93.97,36050214
15-03-2023,93.22,96.93,92.64,96.11,50622050
16-03-2023,96.2,101.19,95.5,100.32,65567656
17-03-2023,100.26,102.835,100.1,101.62,61028547
20-03-2023,100.12,101.75,99.87,101.22,32960440
21-03-2023,101.25,105.1,101.22,104.92,42110279
22-03-2023,104.27,106.59,103.33,103.37,43427419
23-03-2023,105.06,106.3,104.46,105.6,40797769
24-03-2023,104.99,105.49,103.84,105.44,30411043
27-03-2023,104.615,104.76,101.9273,102.46,31120864
28-03-2023,102.44,102.45,99.74,101.03,32057865
29-03-2023,102.28,102.49,100.65,101.39,28779572
