Date,Open,High,Low,Close,Volume
03-01-2023,243.08,245.75,237.4,239.58,25740036
04-01-2023,232.275,232.87,225.96,229.1,50623394
05-01-2023,227.2,227.55,221.7602,222.31,39585623
06-01-2023,223,225.7601,219.35,224.93,43613574
09-01-2023,226.45,231.2366,226.41,227.12,27369784
10-01-2023,227.755,231.31,227.33,228.85,27033881
11-01-2023,231.29,235.95,231.11,235.77,28669331
12-01-2023,235.26,239.9,233.56,238.51,27269486
13-01-2023,237.002,239.37,234.92,239.23,21333265
17-01-2023,237.97,240.91,237.09,240.35,29831257
18-01-2023,241.565,242.38,235.52,235.81,30028692
19-01-2023,233.78,235.52,230.68,231.93,28623033
20-01-2023,234.855,240.74,234.51,240.22,35389809
23-01-2023,241.1,245.165,239.65,242.58,31933951
24-01-2023,242.5,243.95,240.44,242.04,40234444
25-01-2023,234.48,243.3,230.9,240.61,66526641
26-01-2023,243.65,248.31,242,248,33454491
27-01-2023,248.99,249.83,246.83,248.16,26498939
30-01-2023,244.51,245.6,242.2,242.71,25867365
31-01-2023,243.45,247.95,242.945,247.81,26541072
01-02-2023,248,255.18,245.47,252.75,31259912
02-02-2023,258.82,264.69,257.25,264.6,39940437
03-02-2023,259.542,264.2,257.1,258.35,29077256
06-02-2023,257.44,258.3,254.78,256.77,22517997
07-02-2023,260.53,268.775,260.08,267.56,50841365
08-02-2023,273.2,276.76,266.21,266.73,54686049
09-02-2023,273.8,273.98,262.8,263.62,42375102
10-02-2023,261.53,264.09,260.662,263.1,25818489
13-02-2023,267.64,274.6,267.15,271.32,44630921
14-02-2023,272.67,274.97,269.28,272.17,37047924
15-02-2023,268.32,270.73,266.18,269.32,28962163
16-02-2023,264.02,266.74,261.9,262.15,29603616
17-02-2023,259.39,260.09,256,258.06,30000055
21-02-2023,254.48,255.49,251.59,252.67,28397444
22-02-2023,254.09,254.34,250.34,251.51,22491056
23-02-2023,255.56,256.84,250.48,254.77,29219095
24-02-2023,249.96,251,248.1,249.22,24990905
27-02-2023,252.46,252.82,249.39,250.16,21190042
28-02-2023,249.07,251.49,248.73,249.42,22490950
01-03-2023,250.76,250.93,245.79,246.27,27565259
02-03-2023,246.55,251.4,245.61,251.11,24833646
03-03-2023,252.19,255.62,251.39,255.29,30760136
06-03-2023,256.425,260.12,255.98,256.87,24109849
07-03-2023,256.3,257.69,253.39,254.15,21473179
08-03-2023,254.04,254.5417,250.81,253.7,17340217
09-03-2023,255.82,259.56,251.58,252.32,26653387
10-03-2023,251.08,252.79,247.6,248.59,28333930
13-03-2023,247.4,257.91,245.73,253.92,33339721
14-03-2023,256.75,261.07,255.86,260.79,33620293
15-03-2023,259.98,266.48,259.21,265.44,46028047
16-03-2023,265.205,276.56,263.28,276.2,54832140
17-03-2023,278.26,283.33,276.3201,279.43,69527371
20-03-2023,276.98,277.48,269.85,272.23,43466649
21-03-2023,274.88,275,269.5191,273.78,34558704
22-03-2023,273.4,281.04,272.18,272.29,34873330
23-03-2023,277.94,281.06,275.2,277.66,36610879
24-03-2023,277.24,280.63,275.28,280.57,28199962
27-03-2023,280.5,281.4589,275.52,276.38,26840212
28-03-2023,275.79,276.14,272.0451,275.23,21878647
29-03-2023,278.96,281.1398,278.41,280.51,25087032
30-03-2023,284.23,284.46,281.48,284.05,25053410
31-03-2023,283.73,289.27,283,288.3,32765976
03-04-2023,286.52,288.27,283.95,287.23,24883342
04-04-2023,287.23,290.4499,285.67,287.18,25824299
05-04-2023,285.85,287.15,282.92,284.34,22064770
06-04-2023,283.21,292.08,282.03,291.6,29770334
10-04-2023,289.208,289.6,284.71,289.39,23102994
11-04-2023,285.75,285.98,281.64,282.83,27276589
12-04-2023,284.79,287.01,281.96,283.49,27403432
13-04-2023,283.59,289.9,283.17,289.84,24222678
14-04-2023,287,288.48,283.69,286.14,20987917
17-04-2023,289.93,291.6,286.16,288.8,23791151
18-04-2023,291.57,291.755,287.01,288.37,20161845
19-04-2023,285.99,289.05,284.54,288.45,17150271
20-04-2023,285.25,289.03,285.08,286.11,23244363
21-04-2023,285.01,286.27,283.0608,285.76,21676387
24-04-2023,282.09,284.95,278.72,281.77,26611014
25-04-2023,279.51,281.6,275.37,275.42,45772236
26-04-2023,296.7,299.57,292.73,295.37,64481117
27-04-2023,295.97,305.2,295.25,304.83,46462638
28-04-2023,304.01,308.93,303.31,307.26,36469613
01-05-2023,306.97,308.6,305.15,305.56,21294115
02-05-2023,307.76,309.18,303.91,305.41,26404431
03-05-2023,306.62,308.61,304.09,304.4,22360754
04-05-2023,306.24,307.7626,303.4,305.41,22519907
05-05-2023,305.72,311.97,304.27,310.65,28197052
08-05-2023,310.13,310.2,306.09,308.65,21318613
09-05-2023,308,310.04,306.31,307,21340829
10-05-2023,308.62,313,307.67,312.31,30078044
11-05-2023,310.1,311.12,306.2601,310.11,31680179
12-05-2023,310.55,310.65,306.6,308.97,19774696
15-05-2023,309.095,309.905,307.59,309.46,16336547
16-05-2023,309.83,313.71,309.83,311.74,26730347
17-05-2023,312.29,314.43,310.74,314,24315012
18-05-2023,314.53,319.04,313.72,318.52,27275991
19-05-2023,316.74,318.75,316.37,318.34,27546701
22-05-2023,318.6,322.59,318.01,321.18,24115664
23-05-2023,320.03,322.72,315.25,315.26,30797173
24-05-2023,314.73,316.5,312.61,313.85,23384887
25-05-2023,323.24,326.9,320,325.92,43301743
26-05-2023,324.02,333.4,323.88,332.89,36630633
30-05-2023,335.23,335.74,330.52,331.21,29503070
31-05-2023,332.29,335.94,327.33,328.39,45546858
01-06-2023,325.93,333.53,324.72,332.58,26773851
02-06-2023,334.247,337.5,332.55,335.4,25873769
05-06-2023,335.22,338.5599,334.6601,335.94,21307053
06-06-2023,335.33,335.37,332.17,333.68,20396223
07-06-2023,331.65,334.49,322.5,323.38,40717129
08-06-2023,323.935,326.64,323.35,325.26,23277708
09-06-2023,324.99,329.99,324.41,326.79,22528950
12-06-2023,328.58,332.0999,325.16,331.85,24306753
13-06-2023,334.465,336.98,330.39,334.29,22951279
14-06-2023,334.34,339.04,332.81,337.34,26003791
15-06-2023,337.48,349.84,337.2,348.1,38899075
16-06-2023,351.32,351.47,341.95,342.33,46551985
20-06-2023,339.31,342.08,335.86,338.05,26375407
21-06-2023,336.37,337.73,332.07,333.56,25117799
22-06-2023,334.12,340.12,333.34,339.71,23556764
23-06-2023,334.36,337.96,333.45,335.02,23146901
26-06-2023,333.72,336.11,328.49,328.6,21520582
27-06-2023,331.86,336.15,329.3,334.57,24354110
28-06-2023,334.66,337.98,333.81,335.85,20259523
29-06-2023,334.71,336.11,332.62,335.05,16997042
30-06-2023,337.75,342.73,337.2,340.54,26832756
03-07-2023,339.19,340.9,336.571,337.99,12508692
05-07-2023,335.09,341.65,334.7276,338.15,18172378
06-07-2023,337.3,342.99,335.5,341.27,28195534
07-07-2023,339.32,341.79,337,337.22,21214824
10-07-2023,334.6,335.23,327.59,331.83,32791449
11-07-2023,331.06,332.86,327,332.47,26698218
12-07-2023,336.6,341.652,335.67,337.2,29995262
13-07-2023,339.56,343.74,339.02,342.66,20567159
14-07-2023,347.59,351.43,344.31,345.24,28352729
17-07-2023,345.678,346.99,342.2,345.73,20363927
18-07-2023,345.83,366.78,342.17,359.49,64872705
19-07-2023,361.75,362.46,352.435,355.08,39732901
20-07-2023,353.57,357.97,345.37,346.87,33778395
21-07-2023,349.15,350.3,339.83,343.77,69405382
24-07-2023,345.85,346.92,342.31,345.11,26719207
25-07-2023,347.11,351.89,345.07,350.98,41637739
26-07-2023,341.44,344.67,333.11,337.77,58383702
27-07-2023,340.48,341.33,329.05,330.72,39635262
28-07-2023,333.67,340.01,333.17,338.37,28484868
31-07-2023,336.92,337.695,333.36,335.92,25446022
01-08-2023,335.19,338.54,333.7,336.34,18381253
02-08-2023,333.63,333.63,326.3551,327.5,27761257
03-08-2023,326,329.88,325.95,326.66,18360352
04-08-2023,331.88,335.14,327.24,327.78,23741484
07-08-2023,328.37,331.11,327.52,330.11,17741526
08-08-2023,326.96,328.75,323,326.05,22327574
09-08-2023,326.47,327.11,321.0499,322.23,22373268
10-08-2023,326.015,328.26,321.18,322.93,20113725
11-08-2023,320.26,322.41,319.21,321.01,24355491
14-08-2023,321.39,324.06,320.08,324.04,18836139
15-08-2023,323,325.09,320.9034,321.86,16966285
16-08-2023,320.8,324.42,319.8035,320.4,20698864
17-08-2023,320.54,321.87,316.21,316.88,21257161
18-08-2023,314.49,318.38,311.5508,316.48,24755012
21-08-2023,317.93,322.77,317.04,321.88,24039956
22-08-2023,325.5,326.075,321.46,322.46,16102024
23-08-2023,323.82,329.2,323.46,327,21166382
24-08-2023,332.85,332.98,319.96,319.97,23281434
25-08-2023,321.47,325.36,318.8001,322.98,21684104
28-08-2023,325.66,326.15,321.722,323.7,14808482
29-08-2023,321.88,328.9835,321.88,328.41,19284590
30-08-2023,328.67,329.81,326.445,328.79,15222110
31-08-2023,329.2,330.9099,326.78,327.76,26410954
01-09-2023,331.31,331.99,326.78,328.66,14942024
05-09-2023,329,334.85,328.66,333.55,18553859
06-09-2023,333.38,334.46,330.18,332.88,17535773
07-09-2023,331.29,333.08,329.03,329.91,18380995
08-09-2023,330.09,336.16,329.46,334.27,19548165
11-09-2023,337.24,338.42,335.43,337.94,16583324
12-09-2023,335.815,336.79,331.48,331.77,17565482
13-09-2023,331.31,336.85,331.17,336.06,16544412
14-09-2023,339.148,340.86,336.57,338.7,20267048
15-09-2023,336.92,337.3975,329.65,330.22,37679792
18-09-2023,327.8,330.4,326.36,329.06,16834208
19-09-2023,326.17,329.39,324.51,328.65,16514487
20-09-2023,329.51,329.59,320.51,320.77,21436525
21-09-2023,319.26,325.3499,315,319.53,35560362
22-09-2023,321.32,321.45,316.15,317.01,21447887
25-09-2023,316.59,317.67,315,317.54,17835964
26-09-2023,315.13,315.88,310.02,312.14,26297573
27-09-2023,312.3,314.299,309.69,312.79,19410082
28-09-2023,310.99,315.48,309.45,313.64,19683564
29-09-2023,317.75,319.47,314.98,315.75,24147298
02-10-2023,316.28,321.888,315.18,321.8,20570006
03-10-2023,320.83,321.39,311.215,313.39,21033492
